Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status,Year
2,45,Marko Todorović,PF/C,Montenegro,Portland Trail Blazers,FC Barcelona (Spain),Yes,Playing Internationally,2013
2,46,Erick Green,PG,United States,Utah Jazz,Virginia Tech,Yes,College Senior,2013
2,47,Raul Neto,PG,Brazil,Atlanta Hawks,Gipuzkoa Basket (Spain),Yes,Playing Internationally,2013
2,48,Ryan Kelly,PF,United States,Los Angeles Lakers,Duke,No,College Senior,2013
2,49,Erik Murphy,PF,Finland,Chicago Bulls,Florida,No,College Senior,2013
2,50,James Ennis,SF,United States,Atlanta Hawks,Long Beach State,Yes,College Senior,2013
2,51,Romero Osby,PF,United States,Orlando Magic,Oklahoma,Yes,College Senior,2013
2,52,Lorenzo Brown,PG,United States,Minnesota Timberwolves,NC State,Yes,College Junior,2013
2,53,Colton Iverson,C,United States,Indiana Pacers,Colorado State,Yes,College Senior,2013
2,54,Arsalan Kazemi,PF,Iran,Washington Wizards,Oregon,Yes,College Senior,2013
2,55,Joffrey Lauvergne,C,France,Memphis Grizzlies,Partizan Belgrade (Serbia),Yes,Playing Internationally,2013
2,56,Peyton Siva,PG,United States,Detroit Pistons,Louisville,Yes,College Senior,2013
2,57,Alex Oriakhi,C,United States,Phoenix Suns,Missouri,Yes,College Senior,2013
2,58,Deshaun Thomas,SF,United States,San Antonio Spurs,Ohio State,No,College Junior,2013
2,59,Bojan Dubljević,PF,Montenegro,Minnesota Timberwolves,Valencia Basket (Spain),Yes,Playing Internationally,2013
2,60,Jānis Timma,SF,Latvia,Memphis Grizzlies,BK Ventspils (Latvia),Yes,Playing Internationally,2013
1,1,Andrew Wiggins,SF/SG,Canada,Cleveland Cavaliers,Kansas,No,College Freshman,2014
1,2,Jabari Parker,SF/PF,United States,Milwaukee Bucks,Duke,No,College Freshman,2014
1,3,Joel Embiid,C,Cameroon,Philadelphia 76ers,Kansas,No,College Freshman,2014
1,4,Aaron Gordon,PF,United States,Orlando Magic,Arizona,No,College Freshman,2014
1,5,Dante Exum,PG/SG,Australia,Utah Jazz,Australian Institute of Sport,No,Playing Internationally,2014
1,6,Marcus Smart,SG/PG,United States,Boston Celtics,Oklahoma State,No,College Sophmore,2014
1,7,Julius Randle,PF,United States,Los Angeles Lakers,Kentucky,No,College Freshman,2014
1,8,Nik Stauskas,SG,Canada,Sacramento Kings,Michigan,No,College Sophmore,2014
1,9,Noah Vonleh,PF,United States,Charlotte Hornets,Indiana,Yes,College Freshman,2014
1,10,Elfrid Payton,PG,United States,Philadelphia 76ers,Louisiana–Lafayette,Yes,College Junior,2014
1,11,Doug McDermott,SF,United States,Denver Nuggets,Creighton,Yes,College Senior,2014
